"Date","Open","High","Low","Close"
"Nov 23, 2022","$21.11","$21.60","$20.91","$21.54"
"Nov 22, 2022","$20.86","$21.34","$20.84","$21.08"
"Nov 21, 2022","$20.96","$21.02","$20.59","$20.86"
"Nov 18, 2022","$20.96","$21.30","$20.85","$20.94"
"Nov 17, 2022","$21.47","$21.55","$20.76","$20.96"
"Nov 16, 2022","$21.58","$22.05","$21.40","$21.47"
"Nov 15, 2022","$22.00","$22.25","$21.39","$21.58"
"Nov 14, 2022","$21.73","$22.09","$21.30","$22.00"
"Nov 11, 2022","$21.69","$22.07","$21.28","$21.72"
"Nov 10, 2022","$21.08","$21.83","$20.96","$21.69"
"Nov 09, 2022","$21.36","$21.61","$21.00","$21.08"
"Nov 08, 2022","$20.80","$21.63","$20.50","$21.36"
"Nov 07, 2022","$20.85","$21.01","$20.39","$20.80"
"Nov 04, 2022","$19.50","$20.91","$19.42","$20.86"
"Nov 03, 2022","$19.33","$19.55","$18.84","$19.51"
"Nov 02, 2022","$19.66","$20.09","$19.22","$19.33"
"Nov 01, 2022","$19.17","$20.04","$19.14","$19.70"
"Oct 31, 2022","$19.21","$19.30","$18.90","$19.19"
"Oct 28, 2022","$19.63","$19.64","$19.00","$19.29"
"Oct 27, 2022","$19.60","$19.68","$19.30","$19.62"
"Oct 26, 2022","$19.38","$19.78","$19.22","$19.69"
"Oct 25, 2022","$19.27","$19.43","$18.79","$19.39"
"Oct 24, 2022","$19.46","$19.69","$19.02","$19.31"
"Oct 21, 2022","$18.69","$19.44","$18.29","$19.44"
"Oct 20, 2022","$18.53","$19.01","$18.24","$18.74"
"Oct 19, 2022","$18.78","$18.82","$18.37","$18.51"
"Oct 18, 2022","$18.68","$18.93","$18.55","$18.81"
"Oct 17, 2022","$18.29","$18.95","$18.29","$18.73"
"Oct 14, 2022","$18.89","$19.08","$18.09","$18.28"
"Oct 13, 2022","$19.08","$19.32","$18.46","$18.89"
"Oct 12, 2022","$19.19","$19.32","$18.87","$19.10"
"Oct 11, 2022","$19.65","$19.73","$19.07","$19.24"
"Oct 10, 2022","$20.15","$20.20","$19.52","$19.70"
"Oct 07, 2022","$20.70","$20.84","$20.01","$20.16"
"Oct 06, 2022","$20.74","$20.88","$20.37","$20.70"
"Oct 05, 2022","$21.16","$21.16","$19.95","$20.75"
"Oct 04, 2022","$20.70","$21.25","$20.61","$21.16"
